match_id,elo_winner,elo_loser,surface_elo_winner,surface_elo_loser,blended_elo_winner,blended_elo_loser
London_2023_126610_100644,1962.776171319933,2039.922927987732,2113.1496772299847,1946.4167510772486,1992.8508725019435,2021.2216926056353
London_2023_208103_126205,1856.6079990305207,1920.6804018906316,1682.3351527107727,1793.0220825274225,1821.7534297665711,1869.617074145348
London_2023_126128_133430,1792.4371227818212,1883.2353710607638,1721.9751922325186,1836.6380984503176,1778.3447366719608,1873.9159165386748
London_2023_105777_126207,1959.6697018258733,1978.215185937474,1818.511322446201,1903.1358920463429,1931.438025949939,1963.1993271592478
London_2023_206173_123755,2036.878622513598,1677.8899498109497,1819.4021628180528,1750.1432538121462,1993.383330574489,1692.3406106111893
London_2023_126094_122330,2046.4191541649711,1898.9817630782406,2009.8585789440365,2005.7524173938305,2039.1070391207843,1941.6900248044765
London_2023_106421_208103,2177.03671477522,1873.5559433255298,1989.9868284797633,1720.6129315298108,2139.6267375161287,1842.967340966386
London_2023_111153_126774,1836.9576852572006,2046.8280507887023,1827.581113599508,1874.9336203548269,1833.2070565941235,2012.4491647019274
London_2023_104925_128034,2317.279685282489,1942.830041228497,2338.1218025427092,1905.1320943675828,2321.448108734533,1935.2904518563143
London_2023_208029_105777,2079.322017493257,1974.0830995820172,1734.455331784955,1856.760689286684,2010.3486803515966,1950.6186175229507
London_2023_207989_126610,2235.6322457855217,1984.1960122539012,1916.370121633493,2132.0733143324305,2171.779820955116,2013.7714726696072
London_2023_104925_126094,2320.2603995236886,2053.57974957976,2343.4938501423267,2038.4285328081826,2324.9070896474163,2047.5192628711293
London_2023_206173_126128,2039.6094957069963,1816.637005239692,1841.9884162685898,1762.1584455462953,1960.5610639316337,1805.7412933010128
London_2023_106421_111153,2180.513920819292,1865.387301232578,2000.3454362912544,1858.0386866409292,2144.4802239136843,1862.4478553959184
London_2023_207989_208029,2240.342766363115,2087.5188810276018,1962.5392808237157,1774.8759162741953,2129.2213721473554,2024.9902880769205
London_2023_207989_106421,2247.8768261528076,2183.9190619518117,1977.7648419704535,2018.5524382046822,2139.832032479866,2117.7724124529595
London_2023_104925_206173,2325.5579279727194,2045.072757140401,2353.8173767731455,1863.930231682245,2331.209817732805,1972.6157469571385
London_2023_207989_104925,2258.8303806863073,2330.686479754284,2011.8289757334076,2357.7397755197285,2160.0298187051476,2336.097138907373
Gstaad_2023_106233_124186,1806.8189094333304,1781.0641704946167,1772.0897639544737,1702.9251647230726,1792.9272512417879,1749.808568185999
Bastad_2023_209414_200096,1617.264145551504,1583.5389651977057,1669.9887372555745,1600.0,1627.8090638923184,1586.8311721581647
Gstaad_2023_127157_126127,1640.831973944767,1767.3420839006333,1737.6789736255548,1627.0897947414924,1679.5707738170822,1739.2916260688053
Gstaad_2023_200267_111513,1484.0649320649852,1806.7524462234458,1527.0838891977937,1810.3782084491465,1492.668723491547,1808.2027511137262
Gstaad_2023_144719_106310,1691.829862636204,1648.9547414597628,1724.858628018965,1637.6880443800483,1705.0413687893083,1646.70140204382
Bastad_2023_106329_123755,1662.467582917499,1674.0464842420383,1691.2876425461977,1579.74556087168,1673.9956067689786,1636.326114893895
Newport_2023_106281_208278,1709.7972543760636,1430.2492479654493,1659.6745669758554,1484.711088655154,1699.772716896022,1441.1416161033903
Gstaad_2023_200514_144817,1609.350830398969,1655.9712321127722,1558.064521701128,1575.3771780304342,1599.093568659401,1639.8524212963046
Newport_2023_111442_206499,1736.065248112626,1648.9387520368857,1820.3417070462076,1600.0,1769.7758316860586,1639.1510016295088
Newport_2023_208014_209406,1723.291303779385,1566.6047107181955,1695.9748792080159,1559.6658555807333,1717.8280188651115,1565.2169396907032
Newport_2023_144895_208118,1743.777271010318,1500.0,1654.6209646548211,1500.0,1725.9460097392187,1500.0
Gstaad_2023_209098_111190,1411.958914626227,1733.1089440931328,1422.9827951190748,1742.0468011610105,1414.1636907247967,1736.6840869202838
Bastad_2023_208286_200325,1669.409954083368,1833.4229437034799,1696.2226705278242,1679.43573587878,1680.1350406611505,1771.8280605736
Bastad_2023_124116_144869,1759.552703450831,1800.6004032366218,1753.3311459820623,1828.2216040019455,1758.3083919570772,1811.6488835427513
Bastad_2023_207686_207678,1667.8809184630782,1653.9339670484735,1706.738661803016,1660.534094510497,1683.4240157990534,1655.2539925408782
Bastad_2023_209209_105583,1721.489174203137,1790.7320045888548,1738.8884844601255,1813.172155668064,1724.9690362545348,1799.7080650205385
Gstaad_2023_122669_202261,1732.818184833309,1600.0,1770.5484836831824,1600.0,1747.9103043732584,1600.0
Bastad_2023_200303_106065,1680.213153569921,1724.2233280070975,1656.3437674892496,1759.7348139322169,1675.4392763537867,1738.4279223771455
Bastad_2023_209863_111200,1483.1822567714974,1639.2491017411303,1500.0,1596.1377736297752,1486.545805417198,1630.6268361188595
Bastad_2023_106075_200221,1626.827918970285,1871.6467917248538,1665.236909577241,1877.4992191417675,1634.5097170916765,1873.9877626916193
Gstaad_2023_105487_126239,1583.1166379855488,1726.20177103077,1634.727747234562,1727.9902284517113,1593.4388598353516,1726.5594625149586
Bastad_2023_126523_106198,1725.1546909366155,1601.3612541150055,1789.9078881276782,1622.6736838648674,1751.0559698130405,1609.8862260149504
Bastad_2023_105948_202104,1660.5811222840587,1738.246958391815,1764.3844082625078,1801.1099715238588,1702.1024366754382,1763.3921636446325
Bastad_2023_100644_144684,2020.565363102483,1804.908433325191,2055.4760643852815,1854.3368185447712,2034.5296436156023,1824.6797874130232
Gstaad_2023_106398_106121,1697.5564244408947,1758.7968066306403,1703.521257103908,1736.7498954455261,1699.9423575061,1754.3874243936177
Newport_2023_210506_202195,1571.1958774909422,1705.7101446103582,1561.907964467296,1749.2400696616207,1569.3382948862131,1714.4161296206107
Newport_2023_104545_106109,1771.9847280892018,1657.18337838678,1837.7159310505147,1562.5788256952037,1785.1309686814645,1638.262467848465
Newport_2023_133835_126845,1745.801905951156,1606.1762612647392,1553.7919032764194,1656.449803121903,1707.3999054162086,1616.2309696361722
Newport_2023_105902_106005,1716.0670409133008,1656.6518505389768,1619.4907315335327,1576.4853841796876,1696.7517790373474,1640.618557267119
Newport_2023_111454_126846,1466.2806141831707,1630.8162072466152,1472.227801631878,1595.4503204504197,1467.4700516729122,1623.7430298873765
Gstaad_2023_208502_209950,1747.4878761873636,1846.9396558442181,1625.9997783710887,1801.7825096606284,1723.1902566241088,1837.9082266075002
Gstaad_2023_104527_106148,1860.5948928695796,1783.9298422845714,1750.8711466035115,1788.1120193065901,1816.7053943631524,1785.602713093379
Newport_2023_105449_126283,1712.0462497661065,1576.1361282479672,1807.4820980950128,1600.0,1731.133419431888,1580.908902598374
Newport_2023_210319_124154,1600.0,1538.2572584249235,1600.0,1600.0,1600.0,1550.605806739939
Gstaad_2023_105077_104926,1639.0665211773398,1734.5447820435804,1688.218938595947,1777.1742477984392,1658.727488144783,1751.5965683455238
Newport_2023_104731_209113,1778.6450591082612,1551.4108453410593,2029.7661780234116,1600.0,1828.8692828912913,1561.1286762728475
Bastad_2023_202103_209414,1938.7458842386754,1635.927834058939,1909.1064155684749,1690.524053748915,1926.8900967705952,1646.8470779969343
Bastad_2023_207518_208286,1911.7617957920056,1701.4835961866781,1945.9507538501628,1718.79175688001,1925.4373790152686,1708.406860464011
Bastad_2023_105948_209863,1683.091085432751,1533.9455383224956,1789.1178707170823,1548.9903004985047,1725.5017995464837,1536.9544907576974
Gstaad_2023_200267_200514,1533.3572686882546,1639.0270810121867,1586.8224960401615,1586.6743068892692,1544.0503141586362,1628.5565261876034
Gstaad_2023_209098_106233,1462.1191601968624,1818.665548481682,1478.9716494941956,1785.9631294586986,1465.489658056329,1805.5845808724885
Gstaad_2023_105870_127157,1865.755799646352,1663.9677264668128,1878.969097190616,1752.3435467820868,1871.0411186640576,1699.3180545929224
Gstaad_2023_200175_208502,1775.818803673421,1778.351019513617,1755.3767227341766,1671.705311970383,1767.6419712977233,1757.0218780049704
Newport_2023_111442_106281,1748.2927599671837,1717.2075782576105,1830.4065283951534,1674.2402071851507,1781.1382673383716,1708.6141040431187
Newport_2023_105173_208014,1835.7006384525287,1736.2315454554498,1845.021142968364,1714.819796434097,1839.4288402588627,1731.9491956511793
Newport_2023_111456_111454,1800.0368986187698,1517.3591195341075,1735.5912471245904,1519.7414268104767,1774.258638021098,1517.8355809893815
Newport_2023_104545_144895,1783.7418124990095,1750.1337173331874,1849.6798054044255,1669.5634077076393,1796.929411080093,1734.019655408078
Newport_2023_200005_105449,1689.1403042068894,1724.691204723289,1716.8542594902365,1825.419905821753,1694.683095263559,1744.836944942982
Newport_2023_104731_133835,1795.0653099354201,1758.536852389907,2035.7618817600885,1595.7000100632854,1843.2046243003538,1725.9694839245826
Newport_2023_210506_105902,1619.672707705468,1735.1049250126057,1614.7568018346226,1653.3190941065186,1618.689526531299,1718.7477588313884
Newport_2023_126205_210319,1905.516022182002,1631.7947830077308,1757.826649716421,1638.579463448835,1846.4402731957694,1633.1517190959519
Bastad_2023_209209_106075,1754.1348975686858,1677.4576039642798,1773.382071328252,1713.8972468521074,1757.9843323205992,1684.7455325418455
Bastad_2023_124116_126523,1787.218043523851,1733.7415237618166,1784.4729443459325,1798.4412437787657,1786.6690236882673,1759.6214117685963
Bastad_2023_134770_207686,1977.9386484345678,1687.6598833722949,2068.950546728189,1726.7307078839308,2014.3434077520162,1703.2882131769493
Bastad_2023_100644_106329,2027.1147728441065,1678.0544004269957,2064.8458154631153,1705.094079086511,2042.2071898917102,1688.8702718908019
Bastad_2023_126094_200303,2049.186846637427,1702.5511150488555,2007.925463966124,1690.3598653694246,2032.6822935689058,1700.1128651129695
Gstaad_2023_105077_132283,1655.8096112959547,1826.5501483923792,1709.682196422606,1797.3651871149327,1677.358645346615,1814.8761638814008
Gstaad_2023_106398_105138,1714.4897132376398,1837.236491702346,1723.7457314471787,1787.268400500732,1718.1921205214553,1817.2492552217004
Gstaad_2023_122669_105487,1743.289203643045,1613.251893562482,1779.9856825685658,1667.808286975318,1757.9677952132533,1624.1631722450493
Newport_2023_200005_104731,1707.100521944356,1828.742061123525,1754.8345492287217,2041.296373503641,1716.6473274012292,1871.2529235995482
Gstaad_2023_144719_104527,1703.6347365007614,1872.0695235315873,1737.9168461307768,1778.0166809987102,1717.3475803527676,1834.4483865184366
Newport_2023_105173_111442,1844.5028247980244,1763.4626921251008,1859.5585818719428,1843.8433599121934,1850.5251276275917,1795.614959239938
Gstaad_2023_105077_122669,1675.8582675892476,1754.3498107527867,1731.8620904081517,1792.4296741263151,1698.2597967168092,1769.581756102198
Bastad_2023_126094_100644,2051.9004736649445,2030.645393418432,2013.5415501596885,2069.2930539576914,2036.5569042628422,2046.1044576341355
Bastad_2023_202103_105948,1942.420426911086,1694.6934131217954,1916.431949449866,1798.6024578149872,1932.0250359265979,1736.2570309990722
Bastad_2023_207518_209209,1917.1284241407063,1775.5182486598242,1952.935193029122,1796.9925423541445,1931.4511316960727,1779.8131073986883
Bastad_2023_134770_124116,1981.7328095971095,1808.4578880655663,2072.9716221335357,1811.4635268944094,2018.22833461168,1809.6601435971036
Newport_2023_104545_126205,1799.894005422929,1909.56074025574,1867.8024534128629,1773.994306382558,1813.475695020916,1855.3341667064672
Gstaad_2023_106398_144719,1734.5416857544544,1724.1588722314693,1746.2157813189633,1758.3616482681464,1739.211323980258,1737.83998264614
Newport_2023_210506_111456,1665.594643753134,1803.9483279626868,1653.3760968193285,1746.5257117734843,1663.150934366373,1780.9792814870057
Gstaad_2023_209098_105870,1513.816257871537,1872.8704429655654,1534.0555377653272,1890.0021339722089,1517.864113850295,1879.7231193682228
Gstaad_2023_200175_200267,1787.9359136187522,1570.1780662340275,1771.2893786318261,1621.6282211740922,1781.2772996239817,1580.4680972220403
Bastad_2023_134770_207518,1988.5361170660751,1924.6021065926973,2079.257603377299,1962.836284037559,2024.8247115905647,1939.8957775706417
Bastad_2023_126094_202103,2063.049730532476,1947.3718023575514,2038.1635763824993,1927.9761753478217,2053.0952688724856,1939.6135515536594
Gstaad_2023_105077_200175,1693.6017032388713,1793.4970142705597,1753.8397282706565,1783.965060679703,1717.6969132515856,1789.6842328342168
Gstaad_2023_106398_209098,1749.619398666543,1565.2742728983737,1766.5149027027794,1590.3108820273785,1756.3776002810378,1570.2815947241747
Newport_2023_105173_200005,1854.281388424489,1729.7873765536622,1881.6126751104182,1804.1564735737393,1865.2139030988608,1744.6611959576776
Newport_2023_210506_104545,1712.6322611866608,1823.7945722644297,1696.4362545173813,1892.8213180192304,1709.393059852805,1837.5999214153899
Newport_2023_105173_210506,1862.8781923344657,1756.9906065217006,1899.906679404042,1747.6507326986177,1877.6895871622964,1755.122631757084
Gstaad_2023_106398_105077,1757.8994546187173,1712.9471549784075,1777.2599714045182,1775.0413724835973,1765.6436613330375,1737.7848419804836
Bastad_2023_126094_134770,2071.3751183456443,1999.3987843726309,2053.1666033214724,2091.5784107254276,2064.0917123359754,2036.2706349137497
Hamburg_2023_127157_104755,1655.3876751196074,1741.1788642120298,1737.8723359680066,1636.1147669535846,1688.381539458967,1699.1532253086518
Umag_2023_207925_105227,1631.3710910736013,1928.808280465548,1599.0514529879133,1938.3829491857489,1624.9071634564639,1930.7232142095884
Umag_2023_106121_211776,1740.4750799664312,1482.5643745488373,1703.052745495826,1482.1271248967244,1732.9906130723102,1482.4769246184148
Umag_2023_106233_105487,1794.7875132440645,1599.11878599254,1754.9040914686136,1649.7160029791487,1778.8341445338842,1619.3576727871837
