ATP,tourney_location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,loser_id,winner_id,match_id
30,Paris,French Open,2021-05-31,Grand Slam,Outdoor,Clay,1st Round,5,Koepfer D.,Bourgue M.,59,197.0,1134,359.0,6.0,3.0,6.0,3.0,6.0,4.0,,,,,3.0,0.0,Completed,1.25,4.0,1.26,4.29,1.28,4.4,1.24,4.08,106288,136440,Paris_2021_136440_106288
30,Paris,French Open,2021-05-31,Grand Slam,Outdoor,Clay,1st Round,5,Musetti L.,Goffin D.,76,13.0,950,2875.0,6.0,0.0,7.0,5.0,7.0,6.0,,,,,3.0,0.0,Completed,1.66,2.2,1.75,2.2,1.76,2.3,1.71,2.16,105676,207518,Paris_2021_207518_105676
30,Paris,French Open,2021-05-31,Grand Slam,Outdoor,Clay,1st Round,5,Nishioka Y.,Tsonga J.W.,57,77.0,1142,947.0,6.0,4.0,6.0,2.0,3.0,6.0,7.0,6.0,,,3.0,1.0,Completed,1.22,4.33,1.26,4.36,1.26,4.8,1.22,4.3,104542,106415,Paris_2021_106415_104542
30,Paris,French Open,2021-06-01,Grand Slam,Outdoor,Clay,1st Round,5,Cecchinato M.,Uchiyama Y.,83,115.0,903,704.0,3.0,6.0,6.0,1.0,6.0,2.0,6.0,4.0,,,3.0,1.0,Completed,1.04,13.0,1.06,12.44,1.06,21.0,1.05,11.27,106034,106065,Paris_2021_106065_106034
30,Paris,French Open,2021-06-01,Grand Slam,Outdoor,Clay,1st Round,5,Ymer M.,Carballes Baena R.,105,95.0,776,831.0,6.0,4.0,0.0,6.0,4.0,6.0,6.0,2.0,6.0,2.0,3.0,2.0,Completed,2.2,1.66,2.24,1.73,2.29,1.76,2.15,1.71,106148,144707,Paris_2021_144707_106148
30,Paris,French Open,2021-06-01,Grand Slam,Outdoor,Clay,1st Round,5,De Minaur A.,Travaglia S.,22,78.0,2350,939.0,6.0,2.0,6.0,4.0,7.0,6.0,,,,,3.0,0.0,Completed,1.61,2.3,1.65,2.4,1.65,2.52,1.6,2.34,105882,200282,Paris_2021_200282_105882
30,Paris,French Open,2021-06-01,Grand Slam,Outdoor,Clay,1st Round,5,Berankis R.,Humbert U.,93,32.0,839,1780.0,6.0,4.0,6.0,4.0,2.0,6.0,6.0,4.0,,,3.0,1.0,Completed,3.75,1.28,3.28,1.39,3.76,1.39,3.36,1.33,200005,105575,Paris_2021_105575_200005
30,Paris,French Open,2021-06-01,Grand Slam,Outdoor,Clay,1st Round,5,Karatsev A.,Brooksby J.,26,163.0,2245,437.0,6.0,3.0,6.0,4.0,6.0,4.0,,,,,3.0,0.0,Completed,1.14,5.5,1.14,6.63,1.17,7.0,1.12,6.26,202385,106234,Paris_2021_106234_202385
30,Paris,French Open,2021-06-01,Grand Slam,Outdoor,Clay,1st Round,5,Bedene A.,Mannarino A.,56,36.0,1166,1651.0,7.0,5.0,3.0,6.0,7.0,5.0,6.0,2.0,,,3.0,1.0,Completed,1.25,4.0,1.28,4.08,1.31,4.08,1.27,3.79,105173,105379,Paris_2021_105379_105173
30,Paris,French Open,2021-06-01,Grand Slam,Outdoor,Clay,1st Round,5,Duckworth J.,Caruso S.,101,82.0,794,906.0,6.0,4.0,3.0,6.0,7.0,6.0,6.0,2.0,,,3.0,1.0,Completed,4.0,1.25,4.66,1.24,4.75,1.27,4.24,1.23,106099,105902,Paris_2021_105902_106099
