tournament_id,tournament_name,tournament_location,tournament_level,draw_size,Surface,indoor_or_outdoor
2021-0418,Citi Open,Washington,A,64.0,hard,Outdoor
2021-0421,Canadian Open,Toronto,M,64.0,hard,Outdoor
2021-0422,Western & Southern Financial Group Masters,Cincinnati,M,64.0,hard,Outdoor
2021-6242,Winston-Salem Open at Wake Forest University,Winston-Salem,A,64.0,hard,Outdoor
2021-560,US Open,New York,G,128.0,hard,Outdoor
2021-0341,Open de Moselle,Metz,A,32.0,hard,Indoor
2021-9410,Astana Open,Nur-Sultan,A,32.0,hard,Indoor
2021-7434,Sofia Open,Sofia,A,32.0,hard,Indoor
2021-9569,San Diego Open,San Diego,A,32.0,hard,Outdoor
2021-0404,BNP Paribas Open,Indian Wells,M,128.0,hard,Outdoor
2021-0438,Kremlin Cup,Moscow,A,32.0,hard,Indoor
2021-7485,European Open,Antwerp,A,32.0,hard,Indoor
2021-0337,Vienna Open,Vienna,A,32.0,hard,Indoor
2021-0568,St. Petersburg Open,St. Petersburg,A,32.0,hard,Indoor
2021-0352,BNP Paribas Masters,Paris 2,M,64.0,hard,Indoor
2021-0429,Stockholm Open,Stockholm,A,32.0,hard,Indoor
2022-8998,Adelaide International 1,Adelaide 1,A,32.0,hard,Outdoor
2022-9667,Adelaide International 2,Adelaide 2,A,32.0,hard,Outdoor
2022-9663,Sydney Tennis Classic,Sydney,A,32.0,hard,Outdoor
2022-580,Australian Open,Melbourne,G,128.0,hard,Outdoor
2022-0375,Open Sud de France,Montpellier,A,32.0,hard,Indoor
2022-9158,Cordoba Open,Cordoba,A,32.0,clay,Outdoor
2022-0891,Maharashtra Open,Pune,A,32.0,hard,Outdoor
2022-0407,ABN AMRO World Tennis Tournament,Rotterdam,A,32.0,hard,Indoor
2022-0506,Argentina Open,Buenos Aires,A,32.0,clay,Outdoor
2022-0424,Dallas Open,Dallas,A,32.0,hard,Indoor
2022-0451,Qatar Exxon Mobil Open,Doha,A,32.0,hard,Outdoor
2022-0496,Open 13,Marseille,A,32.0,hard,Indoor
2022-0499,Delray Beach Open,Delray Beach,A,32.0,hard,Outdoor
2022-6932,Rio Open,Rio de Janeiro,A,32.0,clay,Outdoor
2022-0495,Dubai Tennis Championships,Dubai,A,32.0,hard,Outdoor
2022-8996,Chile Open,Santiago,A,32.0,clay,Indoor
2022-0807,Abierto Mexicano,Acapulco,A,32.0,hard,Outdoor
2022-0404,BNP Paribas Open,Indian Wells,M,128.0,hard,Outdoor
2022-0403,Miami Open,Miami,M,128.0,hard,Outdoor
2022-0717,U.S. Men's Clay Court Championships,Houston,A,32.0,clay,Outdoor
2022-0360,Grand Prix Hassan II,Marrakech,A,32.0,clay,Outdoor
2022-0410,Monte Carlo Masters,Monte Carlo,M,64.0,clay,Outdoor
2022-0425,Barcelona Open,Barcelona,A,64.0,clay,Outdoor
2022-5053,Serbia Open,Belgrade,A,32.0,clay,Outdoor
2022-7290,Millennium Estoril Open,Estoril,A,32.0,clay,Outdoor
2022-0308,BMW Open,Munich,A,32.0,clay,Outdoor
