tournament_id,tournament_name,tournament_location,tournament_date,tournament_level,draw_size,Surface,indoor_or_outdoor
2021-0425,Barcelona Open,Barcelona,2021-04-19,A,64,Clay,Outdoor
2021-5053,Serbia Open,Belgrade,2021-04-19,A,32,Clay,Outdoor
2021-7290,Millennium Estoril Open,Estoril,2021-04-26,A,32,Clay,Outdoor
2021-0308,BMW Open,Munich,2021-04-26,A,32,Clay,Outdoor
2021-1536,Mutua Madrid Open,Madrid,2021-05-03,M,64,Clay,Outdoor
2021-0416,Internazionali BNL d'Italia,Rome,2021-05-10,M,64,Clay,Outdoor
2021-0322,Geneva Open,Geneva,2021-05-17,A,32,Clay,Outdoor
2021-7694,Lyon Open,Lyon,2021-05-17,A,32,Clay,Outdoor
2021-9512,Belgrade Open,Belgrade 2,2021-05-24,A,32,Clay,Outdoor
2021-9510,Emilia-Romagna Open,Parma,2021-05-24,A,32,Clay,Outdoor
2021-520,French Open,Paris,2021-05-31,G,128,Clay,Outdoor
2021-0321,Mercedes Cup,Stuttgart,2021-06-07,A,32,Grass,Outdoor
2021-0500,Halle Open,Halle,2021-06-14,A,32,Grass,Outdoor
2021-0311,Queen's Club Championships,Queens Club,2021-06-14,A,32,Grass,Outdoor
2021-0741,Viking International,Eastbourne,2021-06-21,A,32,Grass,Outdoor
2021-8994,Mallorca Championships,Mallorca,2021-06-21,A,32,Grass,Outdoor
2021-540,Wimbledon,London,2021-06-28,G,128,Grass,Outdoor
2021-0316,Nordea Open,Bastad,2021-07-12,A,32,Clay,Outdoor
2021-0414,European Open,Hamburg,2021-07-12,A,32,Clay,Outdoor
2021-0315,Hall of Fame Championships,Newport,2021-07-12,A,32,Grass,Outdoor
2021-0314,Suisse Open Gstaad,Gstaad,2021-07-19,A,32,Clay,Outdoor
2021-7480,Mifel Open,Los Cabos,2021-07-19,A,32,Hard,Outdoor
2021-0439,Croatia Open,Umag,2021-07-19,A,32,Clay,Outdoor
2021-6116,BB&T Atlanta Open,Atlanta,2021-07-26,A,32,Hard,Outdoor
2021-0319,Generali Open,Kitzbuhel,2021-07-26,A,32,Clay,Outdoor
2021-0418,Citi Open,Washington,2021-08-02,A,64,Hard,Outdoor
2021-0421,Canadian Open,Toronto,2021-08-09,M,64,Hard,Outdoor
2021-0422,Western & Southern Financial Group Masters,Cincinnati,2021-08-16,M,64,Hard,Outdoor
2021-6242,Winston-Salem Open at Wake Forest University,Winston-Salem,2021-08-23,A,64,Hard,Outdoor
2021-560,US Open,New York,2021-08-30,G,128,Hard,Outdoor
2021-0341,Open de Moselle,Metz,2021-09-20,A,32,Hard,Indoor
2021-9410,Astana Open,Nur-Sultan,2021-09-20,A,32,Hard,Indoor
2021-9569,San Diego Open,San Diego,2021-09-27,A,32,Hard,Outdoor
2021-7434,Sofia Open,Sofia,2021-09-27,A,32,Hard,Indoor
2021-0404,BNP Paribas Open,Indian Wells,2021-10-04,M,128,Hard,Outdoor
2021-7485,European Open,Antwerp,2021-10-18,A,32,Hard,Indoor
2021-0438,Kremlin Cup,Moscow,2021-10-18,A,32,Hard,Indoor
2021-0568,St. Petersburg Open,St. Petersburg,2021-10-25,A,32,Hard,Indoor
2021-0337,Vienna Open,Vienna,2021-10-25,A,32,Hard,Indoor
2021-0352,BNP Paribas Masters,Paris 2,2021-11-01,M,64,Hard,Indoor
2021-0429,Stockholm Open,Stockholm,2021-11-08,A,32,Hard,Indoor
2022-8998,Adelaide International 1,Adelaide 1,2022-01-03,A,32,Hard,Outdoor
2022-9667,Adelaide International 2,Adelaide 2,2022-01-10,A,32,Hard,Outdoor
2022-9663,Sydney Tennis Classic,Sydney,2022-01-10,A,32,Hard,Outdoor
2022-580,Australian Open,Melbourne,2022-01-17,G,128,Hard,Outdoor
2022-9158,Cordoba Open,Cordoba,2022-01-31,A,32,Clay,Outdoor
2022-0375,Open Sud de France,Montpellier,2022-01-31,A,32,Hard,Indoor
2022-0891,Maharashtra Open,Pune,2022-01-31,A,32,Hard,Outdoor
2022-0506,Argentina Open,Buenos Aires,2022-02-07,A,32,Clay,Outdoor
2022-0424,Dallas Open,Dallas,2022-02-07,A,32,Hard,Indoor
2022-0407,ABN AMRO World Tennis Tournament,Rotterdam,2022-02-07,A,32,Hard,Indoor
2022-0499,Delray Beach Open,Delray Beach,2022-02-14,A,32,Hard,Outdoor
2022-0451,Qatar Exxon Mobil Open,Doha,2022-02-14,A,32,Hard,Outdoor
2022-0496,Open 13,Marseille,2022-02-14,A,32,Hard,Indoor
2022-6932,Rio Open,Rio de Janeiro,2022-02-14,A,32,Clay,Outdoor
2022-0807,Abierto Mexicano,Acapulco,2022-02-21,A,32,Hard,Outdoor
2022-0495,Dubai Tennis Championships,Dubai,2022-02-21,A,32,Hard,Outdoor
2022-8996,Chile Open,Santiago,2022-02-21,A,32,Clay,Indoor
2022-0404,BNP Paribas Open,Indian Wells,2022-03-07,M,128,Hard,Outdoor
2022-0403,Miami Open,Miami,2022-03-21,M,128,Hard,Outdoor
2022-0717,U.S. Men's Clay Court Championships,Houston,2022-04-04,A,32,Clay,Outdoor
2022-0360,Grand Prix Hassan II,Marrakech,2022-04-04,A,32,Clay,Outdoor
2022-0410,Monte Carlo Masters,Monte Carlo,2022-04-11,M,64,Clay,Outdoor
2022-0425,Barcelona Open,Barcelona,2022-04-18,A,64,Clay,Outdoor
2022-5053,Serbia Open,Belgrade,2022-04-18,A,32,Clay,Outdoor
2022-7290,Millennium Estoril Open,Estoril,2022-04-25,A,32,Clay,Outdoor
2022-0308,BMW Open,Munich,2022-04-25,A,32,Clay,Outdoor
2022-1536,Mutua Madrid Open,Madrid,2022-05-02,M,64,Clay,Outdoor
2022-0416,Internazionali BNL d'Italia,Rome,2022-05-09,M,64,Clay,Outdoor
2022-0322,Geneva Open,Geneva,2022-05-16,A,32,Clay,Outdoor
2022-7694,Lyon Open,Lyon,2022-05-16,A,32,Clay,Outdoor
2022-520,French Open,Paris,2022-05-23,G,128,Clay,Outdoor
2022-0440,Rosmalen Grass Court Championships,'s-Hertogenbosch,2022-06-06,A,32,Grass,Outdoor
2022-0321,Mercedes Cup,Stuttgart,2022-06-06,A,32,Grass,Outdoor
2022-0500,Halle Open,Halle,2022-06-13,A,32,Grass,Outdoor
2022-0311,Queen's Club Championships,Queens Club,2022-06-13,A,32,Grass,Outdoor
2022-0741,Eastbourne International,Eastbourne,2022-06-20,A,32,Grass,Outdoor
2022-8994,Mallorca Championships,Mallorca,2022-06-20,A,32,Grass,Outdoor
2022-540,Wimbledon,London,2022-06-27,G,128,Grass,Outdoor
2022-0316,Nordea Open,Bastad,2022-07-11,A,32,Clay,Outdoor
2022-0315,Hall of Fame Championships,Newport,2022-07-11,A,32,Grass,Outdoor
2022-0314,Suisse Open Gstaad,Gstaad,2022-07-18,A,32,Clay,Outdoor
2022-0414,European Open,Hamburg,2022-07-18,A,32,Clay,Outdoor
2022-6116,Atlanta Open,Atlanta,2022-07-25,A,32,Hard,Outdoor
2022-0319,Generali Open,Kitzbuhel,2022-07-25,A,32,Clay,Outdoor
2022-0439,Croatia Open,Umag,2022-07-25,A,32,Clay,Outdoor
2022-7480,Los Cabos Open,Los Cabos,2022-08-01,A,32,Hard,Outdoor
2022-0418,Citi Open,Washington,2022-08-01,A,64,Hard,Outdoor
2022-0421,Canadian Open,Montreal,2022-08-08,M,64,Hard,Outdoor
2022-0422,Western & Southern Financial Group Masters,Cincinnati,2022-08-15,M,64,Hard,Outdoor
2022-6242,Winston-Salem Open at Wake Forest University,Winston-Salem,2022-08-22,A,64,Hard,Outdoor
2022-560,US Open,New York,2022-08-29,G,128,Hard,Outdoor
2022-0341,Open de Moselle,Metz,2022-09-19,A,32,Hard,Indoor
2022-9569,San Diego Open,San Diego,2022-09-19,A,32,Hard,Outdoor
2022-4140,Korea Open,Seoul,2022-09-26,A,32,Hard,Outdoor
2022-7434,Sofia Open,Sofia,2022-09-26,A,32,Hard,Indoor
2022-4138,Tel Aviv Open,Tel Aviv,2022-09-26,A,32,Hard,Indoor
